ticker,month,return_pct
CREL,2021-08,0.5068
CREL,2021-09,-3.7208
CREL,2021-10,4.3234
CREL,2021-11,5.568
CREL,2021-12,-6.445
CREL,2022-01,-3.6333
CREL,2022-02,1.1695
CREL,2022-03,-0.8153
CREL,2022-04,1.8334
CREL,2022-05,-2.7843
CREL,2022-06,3.3495
CREL,2022-07,3.0727
CREL,2022-08,0.3086
CREL,2022-09,6.2582
CREL,2022-10,3.1136
CREL,2022-11,-1.8816
CREL,2022-12,2.0986
CREL,2023-01,-2.8603
CREL,2023-02,5.3486
CREL,2023-03,0.4644
CREL,2023-04,0.7048
CREL,2023-05,-2.5573
CREL,2023-06,5.7522
CREL,2023-07,-0.0512
CREL,2023-08,-2.0589
CREL,2023-09,0.0341
CREL,2023-10,2.7412
CREL,2023-11,2.548
CREL,2023-12,3.24
CREL,2024-01,3.2799
CREL,2024-02,10.6959
CREL,2024-03,-0.8107
CREL,2024-04,-1.5974
CREL,2024-05,-2.5018
CREL,2024-06,1.8094
CREL,2024-07,4.2171
CREL,2024-08,-0.8721
CREL,2024-09,-3.5793
CREL,2024-10,-2.0416
CREL,2024-11,2.7785
CREL,2024-12,3.7232
CREL,2025-01,4.6501
CREL,2025-02,-2.1705
CREL,2025-03,2.7521
CREL,2025-04,0.5065
CREL,2025-05,1.7021
CREL,2025-06,3.6591
CREL,2025-07,1.5819
CREL,2025-08,4.7368
CREL,2025-09,-0.536
CREL,2025-10,2.672
CREL,2025-11,3.9019
CREL,2025-12,-5.746
CREL,2026-01,-1.8661
CREL,2026-02,-0.8996
CREL,2026-03,-2.2411
CREL,2026-04,0.0895
CREL,2026-05,7.3018
CREL,2026-06,-0.9489
CREL,2026-07,4.8146
ATL500,2021-08,0.3128
ATL500,2021-09,-3.0234
ATL500,2021-10,4.5747
ATL500,2021-11,7.5625
ATL500,2021-12,-5.5894
ATL500,2022-01,-3.7833
ATL500,2022-02,4.3491
ATL500,2022-03,-2.6128
ATL500,2022-04,-0.3
ATL500,2022-05,-4.3635
ATL500,2022-06,3.9443
ATL500,2022-07,1.621
ATL500,2022-08,2.498
ATL500,2022-09,5.3073
ATL500,2022-10,0.1369
ATL500,2022-11,-4.5608
ATL500,2022-12,3.1513
ATL500,2023-01,-1.4166
ATL500,2023-02,8.5268
ATL500,2023-03,6.3902
ATL500,2023-04,1.02
ATL500,2023-05,-3.7616
ATL500,2023-06,2.0373
ATL500,2023-07,0.8655
ATL500,2023-08,-2.3613
ATL500,2023-09,-1.2772
ATL500,2023-10,2.0594
ATL500,2023-11,2.2643
ATL500,2023-12,4.7821
ATL500,2024-01,3.1113
ATL500,2024-02,9.6901
ATL500,2024-03,-2.6973
ATL500,2024-04,-4.3698
ATL500,2024-05,-3.3524
ATL500,2024-06,3.4838
ATL500,2024-07,9.1393
ATL500,2024-08,0.7718
ATL500,2024-09,-0.64
ATL500,2024-10,-3.4224
ATL500,2024-11,1.4553
ATL500,2024-12,2.2669
ATL500,2025-01,1.8875
ATL500,2025-02,2.2954
ATL500,2025-03,0.3965
ATL500,2025-04,3.1015
ATL500,2025-05,0.1832
ATL500,2025-06,6.4503
ATL500,2025-07,2.6789
ATL500,2025-08,3.5504
ATL500,2025-09,1.2055
ATL500,2025-10,0.9559
ATL500,2025-11,4.5087
ATL500,2025-12,-5.9944
ATL500,2026-01,-2.698
ATL500,2026-02,-3.4315
ATL500,2026-03,-1.3516
ATL500,2026-04,2.8791
ATL500,2026-05,7.5862
ATL500,2026-06,-2.8645
ATL500,2026-07,5.6161
SUMFLEX,2021-08,4.7777
SUMFLEX,2021-09,-3.1081
SUMFLEX,2021-10,3.6532
SUMFLEX,2021-11,7.2224
SUMFLEX,2021-12,-6.749
SUMFLEX,2022-01,-1.8952
SUMFLEX,2022-02,1.9769
SUMFLEX,2022-03,-2.5151
SUMFLEX,2022-04,-1.4532
SUMFLEX,2022-05,0.2928
SUMFLEX,2022-06,8.0638
SUMFLEX,2022-07,4.1903
SUMFLEX,2022-08,0.6849
SUMFLEX,2022-09,8.6848
SUMFLEX,2022-10,1.1526
SUMFLEX,2022-11,-4.3165
SUMFLEX,2022-12,3.8674
SUMFLEX,2023-01,-3.8556
SUMFLEX,2023-02,4.9481
SUMFLEX,2023-03,0.569
SUMFLEX,2023-04,0.8757
SUMFLEX,2023-05,0.6137
SUMFLEX,2023-06,6.6378
SUMFLEX,2023-07,1.5608
SUMFLEX,2023-08,-4.4956
SUMFLEX,2023-09,-0.5573
SUMFLEX,2023-10,1.9131
SUMFLEX,2023-11,0.5013
SUMFLEX,2023-12,1.323
SUMFLEX,2024-01,2.3819
SUMFLEX,2024-02,12.1765
SUMFLEX,2024-03,-3.0962
SUMFLEX,2024-04,-1.1205
SUMFLEX,2024-05,-3.3768
SUMFLEX,2024-06,3.21
SUMFLEX,2024-07,7.8669
SUMFLEX,2024-08,1.5493
SUMFLEX,2024-09,-0.2147
SUMFLEX,2024-10,-2.8307
SUMFLEX,2024-11,2.6999
SUMFLEX,2024-12,3.9582
SUMFLEX,2025-01,3.9151
SUMFLEX,2025-02,-1.5338
SUMFLEX,2025-03,0.1554
SUMFLEX,2025-04,1.7608
SUMFLEX,2025-05,2.4585
SUMFLEX,2025-06,9.4574
SUMFLEX,2025-07,5.4474
SUMFLEX,2025-08,2.5416
SUMFLEX,2025-09,0.8641
SUMFLEX,2025-10,-0.2756
SUMFLEX,2025-11,2.8041
SUMFLEX,2025-12,-4.7747
SUMFLEX,2026-01,1.8439
SUMFLEX,2026-02,-2.3032
SUMFLEX,2026-03,-2.9115
SUMFLEX,2026-04,-3.9948
SUMFLEX,2026-05,7.3833
SUMFLEX,2026-06,-4.6472
SUMFLEX,2026-07,4.4005
HORIZMID,2021-08,-0.135
HORIZMID,2021-09,-4.1546
HORIZMID,2021-10,-0.7683
HORIZMID,2021-11,1.0694
HORIZMID,2021-12,-1.5221
HORIZMID,2022-01,-9.195
HORIZMID,2022-02,-1.685
HORIZMID,2022-03,5.4493
HORIZMID,2022-04,10.2742
HORIZMID,2022-05,-6.6592
HORIZMID,2022-06,4.2494
HORIZMID,2022-07,6.0037
HORIZMID,2022-08,6.9534
HORIZMID,2022-09,3.4898
HORIZMID,2022-10,2.6489
HORIZMID,2022-11,-0.525
HORIZMID,2022-12,4.3229
HORIZMID,2023-01,-4.6545
HORIZMID,2023-02,4.9863
HORIZMID,2023-03,-3.4232
HORIZMID,2023-04,-0.4796
HORIZMID,2023-05,-2.9648
HORIZMID,2023-06,7.8059
HORIZMID,2023-07,-1.3362
HORIZMID,2023-08,0.5893
HORIZMID,2023-09,2.6691
HORIZMID,2023-10,4.2293
HORIZMID,2023-11,4.0444
HORIZMID,2023-12,3.3283
HORIZMID,2024-01,3.2478
HORIZMID,2024-02,9.2286
HORIZMID,2024-03,0.2047
HORIZMID,2024-04,-1.6152
HORIZMID,2024-05,3.8568
HORIZMID,2024-06,9.1183
HORIZMID,2024-07,7.84
HORIZMID,2024-08,-1.7972
HORIZMID,2024-09,-6.4098
HORIZMID,2024-10,0.952
HORIZMID,2024-11,5.1401
HORIZMID,2024-12,6.2753
HORIZMID,2025-01,-1.728
HORIZMID,2025-02,0.8857
HORIZMID,2025-03,3.7253
HORIZMID,2025-04,-1.782
HORIZMID,2025-05,0.7315
HORIZMID,2025-06,6.2098
HORIZMID,2025-07,2.4126
HORIZMID,2025-08,3.5217
HORIZMID,2025-09,1.1657
HORIZMID,2025-10,1.7661
HORIZMID,2025-11,4.6983
HORIZMID,2025-12,-1.2171
HORIZMID,2026-01,-8.4956
HORIZMID,2026-02,-1.8544
HORIZMID,2026-03,-1.3608
HORIZMID,2026-04,0.774
HORIZMID,2026-05,7.2109
HORIZMID,2026-06,-8.5718
HORIZMID,2026-07,6.8809
PINSC,2021-08,10.9972
PINSC,2021-09,-11.2832
PINSC,2021-10,9.1387
PINSC,2021-11,4.4287
PINSC,2021-12,-8.8747
PINSC,2022-01,-10.3182
PINSC,2022-02,0.3044
PINSC,2022-03,5.8363
PINSC,2022-04,3.9351
PINSC,2022-05,5.1857
PINSC,2022-06,11.2793
PINSC,2022-07,7.2574
PINSC,2022-08,9.8731
PINSC,2022-09,9.0182
PINSC,2022-10,7.5423
PINSC,2022-11,-4.4907
PINSC,2022-12,3.4248
PINSC,2023-01,-6.8982
PINSC,2023-02,10.3817
PINSC,2023-03,-4.603
PINSC,2023-04,4.0374
PINSC,2023-05,-3.0882
PINSC,2023-06,12.9795
PINSC,2023-07,4.0406
PINSC,2023-08,7.7462
PINSC,2023-09,2.9492
PINSC,2023-10,-3.5403
PINSC,2023-11,2.7736
PINSC,2023-12,-2.2413
PINSC,2024-01,0.9576
PINSC,2024-02,19.2279
PINSC,2024-03,2.2324
PINSC,2024-04,-4.6543
PINSC,2024-05,-7.6704
PINSC,2024-06,4.5104
PINSC,2024-07,1.1568
PINSC,2024-08,-2.5147
PINSC,2024-09,-1.5012
PINSC,2024-10,2.5867
PINSC,2024-11,7.4229
PINSC,2024-12,-5.8963
PINSC,2025-01,5.4344
PINSC,2025-02,-1.7617
PINSC,2025-03,4.3876
PINSC,2025-04,9.5212
PINSC,2025-05,-7.456
PINSC,2025-06,2.832
PINSC,2025-07,5.186
PINSC,2025-08,-2.8468
PINSC,2025-09,8.6069
PINSC,2025-10,4.4582
PINSC,2025-11,8.4562
PINSC,2025-12,-8.8082
PINSC,2026-01,3.5073
PINSC,2026-02,3.9586
PINSC,2026-03,-0.8629
PINSC,2026-04,0.9776
PINSC,2026-05,10.0697
PINSC,2026-06,-7.2179
PINSC,2026-07,5.4288
NOVAGL,2021-08,1.5239
NOVAGL,2021-09,-1.5305
NOVAGL,2021-10,6.1691
NOVAGL,2021-11,1.1857
NOVAGL,2021-12,-5.9803
NOVAGL,2022-01,0.5878
NOVAGL,2022-02,-0.6848
NOVAGL,2022-03,-2.3918
NOVAGL,2022-04,1.4128
NOVAGL,2022-05,0.3568
NOVAGL,2022-06,3.9027
NOVAGL,2022-07,7.1599
NOVAGL,2022-08,3.4788
NOVAGL,2022-09,7.0035
NOVAGL,2022-10,4.001
NOVAGL,2022-11,4.3871
NOVAGL,2022-12,1.5953
NOVAGL,2023-01,-7.7775
NOVAGL,2023-02,8.2501
NOVAGL,2023-03,-0.5012
NOVAGL,2023-04,0.5902
NOVAGL,2023-05,2.2056
NOVAGL,2023-06,0.648
NOVAGL,2023-07,-3.0213
NOVAGL,2023-08,-4.8962
NOVAGL,2023-09,-2.4356
NOVAGL,2023-10,3.906
NOVAGL,2023-11,3.5763
NOVAGL,2023-12,3.0581
NOVAGL,2024-01,-1.4946
NOVAGL,2024-02,1.8028
NOVAGL,2024-03,-0.3004
NOVAGL,2024-04,-2.0931
NOVAGL,2024-05,-0.5629
NOVAGL,2024-06,4.9037
NOVAGL,2024-07,5.0876
NOVAGL,2024-08,2.61
NOVAGL,2024-09,-1.2802
NOVAGL,2024-10,-0.4058
NOVAGL,2024-11,1.1779
NOVAGL,2024-12,2.9234
